Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"75827-1","Ghostbusters","Original Film",2016,"Firehouse Headquarters ",10,4634,284.99,349.99,399.99,349.99,5702015598323,673419250757,58.5,49,19,,"",0,0,0,,0,0,,,,,,,,,582.9900,527.1700,"01/01/2016","31/12/2018"
"10305-1","Icons","Castle System",2022,"Lion Knights' Castle",22,4514,344.99,399.99,499.99,399.99,5702017153261,673419355766,52.3,48,21.8,,"",0,0,0,,0,0,,,,,,,,,352.4800,300.0000,"03/08/2022","31/12/2025"
"40179-1","Miscellaneous","",2016,"Personalised Mosaic Portrait",,4502,99.99,99.99,99.99,99.99,,673419276795,,,,,"",0,0,0,,0,0,,,,,,,,,75.1400,,"",""
"10214-1","Advanced models","Landmarks",2010,"Tower Bridge",,4287,219.99,239.99,299.99,219.99,5702015013208,673419128971,58.2,48,12.7,4.35,"",0,0,0,,0,0,,,,,,,,,265.2400,166.8800,"01/10/2010","31/12/2012"
"31201-1","Art","Licensed",2021,"Harry Potter Hogwarts Crests",,4249,104.99,119.99,149.99,119.99,5702016914535,,40.4,37.8,5,,"",0,0,0,,0,0,,,,,,,,,94.7600,75.0000,"01/01/2021","31/12/2022"
"31205-1","Art","Licensed",2022,"Jim Lee Batman Collection",,4167,104.99,119.99,149.99,119.99,5702017153971,673419356046,40.4,37.8,5,,"",0,0,0,,0,0,,,,,,,,,105.6400,78.2600,"01/03/2022","31/12/2023"
"10253-1","Creator Expert","Landmarks",2016,"Big Ben",,4163,179.99,249.99,299.99,219.99,5702015591515,,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,364.6300,276.6100,"01/07/2016","31/12/2018"
"21226-1","Art","Miscellaneous",2021,"Art Project - Create Together",,4138,104.99,119.99,149.99,119.99,5702017085210,,40.4,37.8,5,,"",0,0,0,,0,0,,,,,,,,,95.2700,79.6800,"01/11/2021","31/12/2022"
"10261-1","Creator Expert","Fairground Collection",2018,"Roller Coaster",11,4124,299.99,379.99,479.99,329.99,5702016111835,,58.1,48.6,18.6,5.8,"",0,0,0,,0,0,,,,,,,,,355.8300,324.3400,"01/06/2018","31/12/2021"
"42100-1","Technic","Licensed",2019,"Liebherr R 9800",,4108,399.99,449.99,549.99,449.99,5702016369915,,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,549.9300,401.7300,"01/10/2019","31/12/2021"
"71040-1","Disney","Disney Parks",2016,"Disney Castle",7,4080,309.99,349.99,399.99,349.99,5702015643597,,48,58.2,17,,"",0,0,0,,0,0,,,,,,,,,353.1100,242.3400,"01/09/2016","31/12/2022"
"910002-1","Bricklink","2021 Designer Program",2023,"Studgate Train Station",11,4062,299.99,399.99,,339.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,642.8300,499.6600,"",""
"42082-1","Technic","",2018,"Rough Terrain Crane",,4057,229.99,299.99,349.99,229.99,5702016116960,673419283878,58.2,48,17,6.1,"",0,0,0,,0,0,,,,,,,,,258.3600,209.4700,"01/08/2018","31/12/2020"
"76210-1","Marvel Super Heroes","Avengers: Age of Ultron",2022,"Hulkbuster",1,4049,474.99,549.99,699.99,549.99,5702017154244,673419356473,48.3,37.8,25.7,,"",0,0,0,,0,0,,,,,,,,,343.2600,200.0000,"04/11/2022","31/12/2024"
"75159-1","Star Wars","Ultimate Collector Series",2016,"Death Star",27,4016,409.99,499.99,599.99,487.39,5702015593946,,58.5,49,19,,"",0,0,0,,0,0,,,,,,,,,847.1500,548.2100,"01/10/2016","31/12/2020"
"10326-1","Icons","Modular Buildings Collection",2024,"Natural History Museum",,4014,259.99,299.99,389.99,299.99,5702017589886,673419390033,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10255-1","Creator Expert","Modular Buildings Collection",2017,"Assembly Square",9,4002,259.99,299.99,379.99,299.99,5702015865272,673419264358,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,234.6900,198.0900,"01/01/2017","31/12/2023"
"76252-1","DC Comics Super Heroes","Batman Returns",2023,"Batcave – Shadow Box",7,3981,344.99,399.99,519.99,399.99,5702017419695,673419376648,52.3,37.8,25.7,,"",0,0,0,,0,0,,,,,,,,,417.0000,337.5000,"05/06/2023","31/12/2024"
"21330-1","Ideas","Licensed",2021,"Home Alone",5,3955,259.99,299.99,379.99,299.99,5702017006178,673419345842,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,248.9000,212.3400,"01/11/2021","31/12/2025"
"42055-1","Technic","",2016,"Bucket Wheel Excavator",,3929,189.99,279.99,329.99,229.99,5702015594011,673419248723,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,415.5600,241.1200,"01/08/2016","31/12/2018"
"10272-1","Creator Expert","Stadiums",2020,"Old Trafford - Manchester United",,3898,244.99,299.99,349.99,279.99,5702016667998,,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,309.6000,211.2700,"01/02/2020","31/12/2022"
"910027-1","Bricklink","2021 Designer Program",2023,"Mountain View Observatory",11,3889,179.99,249.99,,209.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,448.4600,381.2600,"",""
"42131-1","Technic","Licensed",2021,"Cat D11 Bulldozer",,3854,429.99,499.99,619.99,499.99,5702016912937,673419363853,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,375.3300,337.9500,"01/10/2021","31/12/2023"
"10188-1","Star Wars","Ultimate Collector Series",2008,"Death Star",24,3803,274.99,399.99,499.99,419.99,,673419130578,58.801,50.1904,17.6022,8.31,"",0,0,0,,0,0,,,,,,,,,622.0600,460.7500,"01/09/2008","31/12/2015"
"42143-1","Technic","Licensed",2022,"Ferrari Daytona SP3",,3778,389.99,449.99,559.99,449.99,5702017159041,673419356916,62,29,23,,"",0,0,0,,0,0,,,,,,,,,353.1100,259.8600,"01/06/2022","31/12/2025"
"76178-1","Marvel Super Heroes","Spider-Man",2021,"Daily Bugle",25,3772,299.99,349.99,449.99,349.99,5702016912807,673419339612,48,58.2,17,,"",0,0,0,,0,0,,,,,,,,,316.0200,248.2000,"01/01/2022","31/12/2023"
"10303-1","Icons","Fairground Collection",2022,"Loop Coaster",11,3756,344.99,399.99,499.99,399.99,5702017153247,673419355742,52.2,48.2,25.7,5.83,"",0,0,0,,0,0,,,,,,,,,307.0600,349.7600,"01/07/2022","31/12/2024"
"42115-1","Technic","Licensed",2020,"Lamborghini Sián FKP 37",,3696,389.99,449.99,559.99,449.99,5702016617535,673419318679,57,37.5,15,7.18,"",0,0,0,,0,0,,,,,,,,,302.8400,243.7600,"01/06/2020","31/12/2024"
"21323-1","Ideas","",2020,"Grand Piano",,3662,344.99,399.99,499.99,399.99,5702016756401,673419328548,58.2,37.8,16,6.09,"",0,0,0,,0,0,,,,,,,,,313.5900,249.2500,"01/08/2020","31/12/2025"
"42083-1","Technic","Licensed",2018,"Bugatti Chiron",,3599,319.99,349.99,399.99,369.99,5702016116977,673419283885,57,37.5,15,5.92,"",0,0,0,,0,0,,,,,,,,,337.3500,230.7400,"01/06/2018","31/12/2022"
"70657-1","The LEGO Ninjago Movie","",2018,"NINJAGO City Docks",14,3553,199.99,229.99,269.99,229.99,5702016110715,673419282246,58.2,48,12.4,4.61,"",0,0,0,,0,0,,,,,,,,,617.2300,480.9500,"01/06/2018","31/12/2019"
"910023-1","Bricklink","2021 Designer Program",2022,"Venetian Houses",13,3470,219.99,289.99,,244.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,510.5500,384.7000,"",""
"31204-1","Art","Music",2022,"Elvis Presley  'The King'",,3445,104.99,119.99,149.99,119.99,5702016914917,,40.4,37.8,5,,"",0,0,0,,0,0,,,,,,,,,121.4600,119.9900,"01/03/2022","31/12/2022"
"70922-1","The LEGO Batman Movie","",2017,"The Joker Manor",10,3444,249.99,269.99,349.99,269.99,5702016093056,673419279949,58.5,49,19,7,"",0,0,0,,0,0,,,,,,,,,581.4300,534.3400,"01/12/2017","31/12/2018"
"10143-1","Star Wars","Ultimate Collector Series",2005,"Death Star II",,3441,249.99,269.99,,,,673419057271,59.3,51,21.2,,"",0,0,0,,0,0,,,,,,,,,3318.5700,1340.1900,"01/09/2005","31/12/2007"
"10181-1","Advanced models","Landmarks",2007,"Eiffel Tower ",,3428,146.79,199.99,,,5702014499867,,48,65.2,9.6,,"",0,0,0,,0,0,,,,,,,,,1610.0400,604.4400,"01/08/2007","31/12/2009"
"31200-1","Art","Licensed",2020,"Star Wars The Sith",,3406,114.99,119.99,149.99,119.99,5702016677713,673419319638,41.5,40.2,5.3,1.69,"",0,0,0,,0,0,,,,,,,,,115.1300,107.9300,"01/08/2020","31/12/2021"
"910008-1","Bricklink","2021 Designer Program",2023,"Modular Construction Site",6,3371,245.99,319.99,,269.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,623.2900,520.4500,"",""
"31197-1","Art","Miscellaneous",2020,"Andy Warhol's Marilyn Monroe",,3341,114.99,119.99,149.99,119.99,5702016677683,673419319607,41.5,40.2,5.3,1.44,"",0,0,0,,0,0,,,,,,,,,91.7400,59.9900,"01/08/2020","31/12/2021"
"76139-1","DC Comics Super Heroes","Batman 1989",2019,"1989 Batmobile",3,3306,219.99,249.99,299.99,249.99,5702016469110,,58.2,37.8,16.1,4.67,"",0,0,0,,0,0,,,,,,,,,360.5200,267.1700,"29/11/2019","31/12/2021"
"75059-1","Star Wars","Ultimate Collector Series",2014,"Sandcrawler",14,3296,249.99,299.99,349.99,299.99,5702015123815,,58.1914,48.006,16.9926,4.48,"",0,0,0,,0,0,,,,,,,,,430.7500,405.1400,"01/05/2014","31/12/2016"
"75309-1","Star Wars","Ultimate Collector Series",2021,"Republic Gunship",2,3292,344.99,399.99,499.99,399.99,5702016914573,673419340144,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,281.3600,273.6300,"01/08/2021","31/12/2023"
"10196-1","Advanced models","Fairground Collection",2009,"Grand Carousel",9,3263,179.99,249.99,349.99,,,673419121804,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,1635.7300,685.9800,"01/07/2009","31/05/2010"
"7100-1","Samsonite","Educational",1963,"Samsonite Large Educational Set",,3250,,100,,,,,83.82,12.7,54.29,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10273-1","Icons","Fairground Collection",2020,"Haunted House",10,3231,259.99,299.99,379.99,299.99,5702016668001,673419322171,48,58.2,12.4,,"",0,0,0,,0,0,,,,,,,,,235.4600,190.9500,"01/06/2020","31/12/2023"
"75290-1","Star Wars","Master Builder Series",2020,"Mos Eisley Cantina",21,3187,344.99,399.99,499.99,399.99,5702016663495,673419321419,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,330.8000,273.6100,"01/10/2020","31/12/2024"
"70840-1","The LEGO Movie 2","",2019,"Welcome to Apocalypseburg!",13,3178,279.99,299.99,399.99,299.99,5702016368239,,48,58.2,17,,"",0,0,0,,0,0,,,,,,,,,633.7200,535.9900,"01/02/2019","31/12/2019"
"31199-1","Art","Licensed",2020,"Marvel Studios Iron Man",,3167,114.99,119.99,149.99,119.99,5702016677706,673419319621,41.5,40.2,5.3,1.7,"",0,0,0,,0,0,,,,,,,,,129.1500,100.0000,"01/08/2020","31/12/2021"
"10221-1","Star Wars","Ultimate Collector Series",2011,"Super Star Destroyer ",5,3152,349.99,399.99,499.99,,,673419145701,58.5,49,19,,"",0,0,0,,0,0,,,,,,,,,1141.6000,810.6800,"01/09/2011","31/12/2014"
"76262-1","Marvel Super Heroes","Miscellaneous",2023,"Captain America's Shield",1,3128,179.99,199.99,259.99,209.99,5702017419787,673419376730,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,175.5900,99.9900,"01/08/2023","31/12/2024"
"75936-1","Jurassic World","Jurassic Park",2019,"Jurassic Park: T. rex Rampage",6,3120,219.99,249.99,299.99,249.99,5702016367249,673419301565,58.2,48,12.4,4.65,"",0,0,0,,0,0,,,,,,,,,300.0600,242.1500,"01/07/2019","31/12/2021"
"10030-1","Star Wars","Ultimate Collector Series",2002,"Imperial Star Destroyer",,3096,249.99,269.99,,,,673419014472,59.3,51,21.2,,"",0,0,0,,0,0,,,,,,,,,2467.6600,1056.1900,"06/12/2002","31/12/2007"
"10297-1","Icons","Modular Buildings Collection",2022,"Boutique Hotel",7,3066,199.99,229.99,289.99,229.99,5702017151847,673419355445,58.2,48,12.4,3.471,"",0,0,0,,0,0,,,,,,,,,180.4300,174.2700,"01/01/2022","31/12/2025"
"21318-1","Ideas","",2019,"Tree House",4,3036,214.99,249.99,309.99,249.99,5702016554205,673419313827,58,47.5,12,3.8,"",0,0,0,,0,0,,,,,,,,,189.5900,144.0400,"01/08/2019","31/12/2025"
"76391-1","Harry Potter","Miscellaneous",2021,"Hogwarts Icons - Collectors' Edition",3,3010,259.99,299.99,379.99,299.99,5702016913415,673419340175,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,247.1400,179.2600,"02/09/2021","31/12/2025"
"76042-1","Marvel Super Heroes","Miscellaneous",2015,"The SHIELD Helicarrier",17,2996,279.99,349.99,399.99,349.99,5702015357272,,58.4962,48.9966,18.9992,5.44,"",0,0,0,,0,0,,,,,,,,,464.3200,345.2000,"01/03/2015","31/12/2017"
"10234-1","Creator Expert","Landmarks",2013,"Sydney Opera House",,2989,249.99,319.99,379.99,279.99,5702014971929,,58.2,48,17,5.54,"",0,0,0,,0,0,,,,,,,,,351.1700,206.9400,"01/09/2013","31/12/2016"
"76215-1","Marvel Super Heroes","Black Panther",2022,"Black Panther",,2961,299.99,349.99,449.99,349.99,5702017189680,673419361859,37.8,48.3,25.7,,"",0,0,0,,0,0,,,,,,,,,269.7700,162.5000,"01/10/2022","31/12/2023"
"31198-1","Art","Music",2020,"The Beatles",,2933,114.99,119.99,149.99,119.99,5702016677690,673419319614,41.5,40.2,5.3,1.52,"",0,0,0,,0,0,,,,,,,,,128.8600,150.0000,"01/08/2020","31/12/2021"
"71044-1","Disney","Disney Parks",2019,"Disney Train and Station",5,2925,299.99,329.99,379.99,329.99,5702016369335,673419303194,57.8,47.6,12,4.125,"",0,0,0,,0,0,,,,,,,,,462.6600,379.4400,"01/09/2019","31/12/2021"
"10278-1","Icons","Modular Buildings Collection",2021,"Police Station",5,2923,169.99,199.99,269.99,199.99,5702016913729,673419340502,57.7,47.6,11.8,4.012,"",0,0,0,,0,0,,,,,,,,,183.9000,155.7200,"01/01/2021","31/12/2023"
"10312-1","Icons","Modular Buildings Collection",2023,"Jazz Club",8,2899,199.99,229.99,299.99,229.99,5702017416625,673419375269,57.8,47.6,12,3.884,"",0,0,0,,0,0,,,,,,,,,170.5700,143.0000,"01/01/2023","31/12/2026"
"42146-1","Technic","Licensed",2023,"Liebherr Crawler Crane LR 13000",,2883,579.99,699.99,899.99,679.99,5702017156026,673419358583,37.8,52.3,25.7,,"",0,0,0,,0,0,,,,,,,,,556.1600,,"01/08/2023","31/12/2025"
"3450-1","Advanced models","Landmarks",2000,"Statue of Liberty",,2882,,199,,,,,59.5,37,20,,"",0,0,0,,0,0,,,,,,,,,200.0000,1250.0000,"15/11/2000","31/12/2002"
"31207-1","Art","Miscellaneous",2022,"Floral Art",,2870,59.99,79.99,99.99,69.99,5702017153995,673419356060,27,38,7.4,,"",0,0,0,,0,0,,,,,,,,,57.0400,,"01/08/2022","31/12/2023"
"21137-1","Minecraft","Minifig-scale",2017,"The Mountain Cave",6,2863,259.99,249.99,299.99,249.99,,673419263818,58.1914,48.006,16.9926,5.089302,"",0,0,0,,0,0,,,,,,,,,1781.4800,612.6500,"01/07/2017","31/12/2018"
"K34432-1","Basic","Mosaic",2003,"Mosaic Dino",,2847,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"75222-1","Star Wars","Master Builder Series",2018,"Betrayal at Cloud City",20,2812,299.99,349.99,399.99,341.17,5702016111200,,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,775.3700,706.6700,"01/10/2018","31/12/2019"
"71411-1","Super Mario","Miscellaneous",2022,"The Mighty Bowser",,2807,229.99,269.99,349.99,269.99,5702017155319,673419357227,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,198.8900,165.4900,"01/10/2022","31/12/2025"
"42043-1","Technic","Licensed",2015,"Mercedes-Benz Arocs 3245",,2793,179.99,229.99,269.99,199.99,5702015349741,,58.1914,48.006,12.3952,4.49,"",0,0,0,,0,0,,,,,,,,,392.4400,214.4000,"01/08/2015","31/12/2017"
"910013-1","Bricklink","2021 Designer Program",2022,"Retro Bowling Alley",5,2779,169.99,229.99,,189.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,492.9200,315.8600,"",""
"10224-1","Advanced models","Modular Buildings Collection",2012,"Town Hall",8,2766,149.99,199.99,249.99,,5702014846623,673419169073,48,58.2,12.7,,"",0,0,0,,0,0,,,,,,,,,815.3600,663.1900,"01/03/2012","31/12/2014"
"5526-1","Factory","",2005,"Skyline",,2747,,130,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,730.9700,372.5200,"",""
"70810-1","The LEGO Movie","",2014,"MetalBeard's Sea Cow",5,2741,169.99,249.99,299.99,249.99,5702015122313,,58.1914,48.006,12.3952,3.85,"",0,0,0,,0,0,,,,,,,,,381.2800,296.7700,"01/03/2014","31/07/2015"
"76218-1","Marvel Super Heroes","Doctor Strange in the Multiverse of Madness",2022,"Sanctum Sanctorum",9,2708,214.99,249.99,309.99,249.99,5702017154619,673419356541,48,58.2,12.4,,"",0,0,0,,0,0,,,,,,,,,178.9100,142.0500,"01/08/2022","31/12/2024"
"910004-1","Bricklink","2021 Designer Program",2023,"Winter Chalet",7,2705,149.99,199.99,,169.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,379.2200,298.2000,"",""
"42056-1","Technic","Licensed",2016,"Porsche 911 GT3 RS",,2704,259.99,299.99,349.99,299.99,5702015594028,673419248730,48,37.8,15.3,,"",0,0,0,,0,0,,,,,,,,,709.8600,424.1600,"01/06/2016","31/12/2018"
"10257-1","Creator Expert","Fairground Collection",2017,"Carousel",7,2670,159.99,199.99,249.99,179.99,5702015865289,,57.8,47.5,8.5,,"",0,0,0,,0,0,,,,,,,,,344.0700,305.6700,"01/06/2017","31/12/2019"
"76419-1","Harry Potter","Miscellaneous",2023,"Hogwarts Castle and Grounds",1,2660,149.99,169.99,219.99,169.99,5702017413228,673419375863,48,37.8,11.2,,"",0,0,0,,0,0,,,,,,,,,127.1100,109.7200,"01/09/2023","31/12/2025"
"31202-1","Art","Licensed",2021,"Disney's Mickey Mouse",,2658,104.99,119.99,149.99,119.99,5702016914894,,40.4,37.8,5,,"",0,0,0,,0,0,,,,,,,,,85.9800,75.0000,"01/01/2021","31/12/2022"
"10323-1","Icons","Licensed",2023,"PAC-MAN Arcade",1,2651,229.99,269.99,349.99,269.99,5702017416946,673419375559,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,252.7400,204.4800,"01/06/2023","31/12/2026"
"71374-1","Super Mario","Miscellaneous",2020,"Nintendo Entertainment System",1,2646,229.99,269.99,349.99,269.99,5702016618532,673419319560,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,184.2500,146.2100,"01/08/2020","31/12/2024"
"2000430-1","Serious Play","",2013,"Identity and Landscape Kit",6,2631,614.99,789.99,789.99,699.99,5702015011969,,,,,,"",0,0,0,,0,0,,,,,,,,,685.1100,,"",""
"42009-1","Technic","",2013,"Mobile Crane MK II",,2606,149.99,219.99,249.99,199.99,5702014975606,,58.1914,48.006,9.0932,4.21,"",0,0,0,,0,0,,,,,,,,,378.0600,195.6400,"01/08/2013","31/12/2015"
"42078-1","Technic","Licensed",2018,"Mack Anthem",,2595,139.99,179.99,229.99,149.99,5702016116939,673419282949,58.2,48,12.4,3.46,"",0,0,0,,0,0,,,,,,,,,242.0400,166.1700,"01/01/2018","31/12/2019"
"21332-1","Ideas","",2022,"The Globe",,2585,199.99,229.99,289.99,229.99,5702017153742,673419357623,37.8,48,11.2,,"",0,0,0,,0,0,,,,,,,,,190.2600,139.9900,"01/02/2022","31/12/2025"
"42110-1","Technic","Licensed",2019,"Land Rover Defender",,2573,174.99,199.99,249.99,199.99,5702016604115,,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,177.0600,123.7500,"01/10/2019","31/12/2022"
"10264-1","Creator Expert","Modular Buildings Collection",2019,"Corner Garage",6,2569,159.99,199.99,269.99,179.99,5702016368253,,57.7,47.4,8.6,3.044,"",0,0,0,,0,0,,,,,,,,,231.2400,215.1700,"01/01/2019","31/12/2021"
"21322-1","Ideas","",2020,"Pirates of Barracuda Bay",10,2545,179.99,199.99,259.99,199.99,5702016819601,673419333351,57.8,47.8,10.8,4.432,"",0,0,0,,0,0,,,,,,,,,305.0300,237.4600,"01/04/2020","31/12/2021"
"21344-1","Ideas","Licensed",2023,"The Orient Express Train",,2540,259.99,299.99,389.99,299.99,5702017497891,673419384865,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10306-1","Icons","Licensed",2022,"Atari 2600",1,2532,209.99,239.99,299.99,239.99,5702017153278,673419355773,58.2,48,12.4,,"",0,0,0,,0,0,,,,,,,,,156.3500,130.0000,"01/08/2022","31/12/2024"
